id,production_date,car_model,car_color,part_id,part_color,part_material,plant_location,temperature,humidity,pressure
99a38e48-a9bc-4348-af0a-0cd19ae6f11f,1/15/2021,Intrepid,Indigo,1877853410,#a7eeff,Brass,China,10.3,97.87,1.7144
fb8c1eff-30f3-442d-9032-0f75314d4383,1/25/2021,Xtra,Green,5937437683,#1a832a,Stone,China,9.7,51.54,1.2491
f18b75e8-60c1-4cd1-9890-0e46e0b472a7,1/7/2021,Intrigue,Yellow,1036353117,#1f4423,Brass,China,6.6,17.08,1.6865
d2d6fb8d-287c-4931-a593-2bff6c899c04,1/12/2021,ES,Violet,5459482372,#bcf42d,Brass,China,105.6,50.99,1.0881
8a0553fe-bf9f-428a-868e-3a6124fa2831,1/4/2021,Yukon,Puce,9983813262,#9909fe,Plastic,China,77.5,66.51,1.8042
85389c17-cc10-495f-8f7d-c895f2caee1f,1/6/2021,Pathfinder,Purple,7055032296,#3e73bf,Glass,Portugal,91.7,46.04,
e4f3031c-cf8a-4df3-b98d-7768c30a4898,1/17/2021,Savana Cargo Van,Blue,4392420736,#e9d3c8,Wood,China,32.0,,1.284
fd1e21c2-4078-4bbb-8d8e-8616ca3345a9,1/13/2021,riolet,Yellow,5137352314,#4c3a10,Plexiglass,China,79.5,96.48,1.7844
912d8280-b5ff-4d7d-ad08-17efa359a297,1/8/2021,Justy,Orange,4203126800,#c52571,Plastic,Portugal,81.8,,1.5575
1ee7ba90-a587-4a3e-9875-37ce2f99f7f8,1/17/2021,Outlander,Puce,8489671001,#247bb5,Aluminum,China,70.9,49.19,1.5213
1a427710-a6fa-41a8-8813-8a69aaa1301b,1/1/2021,Spyder,Maroon,2462886605,#03d586,Plastic,China,11.5,39.83,1.8858
60dcfc1e-044c-45f2-9a63-f70e18f19882,1/29/2021,Ram 3500,Orange,4926341808,#58ec74,Plastic,United States,102.5,98.94,
3d1fa2a4-62a8-41df-a83c-0870208b0f44,1/8/2021,Continental GT,Mauv,9935656713,#4ca81e,Rubber,China,,43.29,1.9987
38f49f9e-253e-4b92-b5c6-f12c5736e75d,1/6/2021,Sierra 3500,Blue,9226753547,#b9ef68,Wood,China,78.0,24.88,1.1062
0166b31d-fef8-4a69-8183-70d572ea40d7,1/4/2021,Topaz,Blue,0880544023,#2b3818,Aluminum,China,40.1,23.36,1.5711
3641b2db-6f74-47c6-9ed7-afa48aa6b0a3,1/18/2021,Neon,Teal,9586716929,#54c92e,Wood,United States,18.4,98.6,1.1113
3bceaca8-db72-4c30-8ab6-c6b3c1de5778,1/25/2021,Precis,Indigo,1505028604,#4c7681,Aluminum,China,71.7,14.21,1.0943
a47cd0cf-facd-43bc-9272-94f4073750ff,1/15/2021,Quattroporte,Green,5378527007,#374816,Stone,China,4.6,32.2,1.7067
97c53c70-d5f3-4628-8267-683f8becc3a2,1/1/2021,3000GT,Blue,4623558207,#a434e7,Stone,China,15.0,22.8,1.2305
d8f9e05b-4a9b-4f19-b181-0266e8b655f7,1/8/2021,TundraMax,Pink,8229098670,#5363c6,Vinyl,Portugal,103.5,93.41,1.6026
48d84b45-bac8-4e35-acb5-f6736d758247,1/21/2021,Swift,Khaki,6268130731,#787ab8,Plexiglass,China,80.4,28.81,1.4971
ff3fc401-a190-4666-9e61-c83c9ef5e9bd,1/17/2021,Ranger,Khaki,6694670133,#5cecfe,Vinyl,United States,117.3,28.66,
ccacaf70-4edc-489d-b5a6-51929a2cdf5b,1/2/2021,Hombre,Aquamarine,4865828184,#def34c,Granite,Portugal,,96.53,1.7673
3034da2f-be59-41c3-9bd6-f91732c65b93,1/21/2021,XLR-V,Mauv,1775162761,#d68cfd,Brass,China,53.9,79.7,1.9943
2bbd10d8-67a3-4f30-98bc-fe207af2d6ad,1/6/2021,911,Orange,3590114347,#513d40,Brass,China,6.1,79.67,1.7367
435bc5b3-a122-43fb-8244-39a1b421e344,1/4/2021,Voyager,Pink,0246232587,#d301d4,Plastic,China,70.2,,1.4161
872401a8-b96e-4b3d-92cb-5159e1e723cc,1/21/2021,S-Type,Puce,3643006896,#a1da9b,Aluminum,Portugal,49.2,71.46,1.7411
08bb2c39-dde0-4257-84c8-62531a6c8a5c,1/7/2021,Yukon XL 1500,Khaki,6915396098,#9d4d2b,Plexiglass,Mexico,23.6,97.4,1.972
06131eb4-2f5f-4836-b800-ef4969ff9ab0,1/5/2021,GT500,Crimson,0303609745,#38e148,Steel,United States,113.1,79.53,1.8308
81f86ece-4945-49ef-bf5b-98124375b595,1/9/2021,LS,Puce,3124783778,#789e31,Steel,China,24.9,,1.4933
4d58d555-7d84-41ad-a451-144a4afb5092,1/30/2021,Tracker,Yellow,0275110745,#5e942a,Stone,China,76.7,,1.6959
17803b0b-63d8-449d-acef-d265473f2a23,1/23/2021,Sephia,Purple,8626652178,#c1472a,Wood,China,31.1,58.04,1.099
626cf87f-69b5-42d2-bd6e-884d3cdd6ee8,1/7/2021,S60,Fuscia,5428569794,#028d84,Rubber,China,90.0,41.53,1.8837
9225fe8f-97d3-41a0-a376-16e903a96782,1/24/2021,Pilot,Pink,5206988448,#8df684,Plexiglass,China,109.6,,1.55
0d463e92-d2bc-4cc1-9b88-153965cb3e64,1/28/2021,Sorento,Crimson,5650520097,#7f78b5,Plastic,Portugal,29.4,27.89,1.9317
faed7b05-ef62-471b-b1b5-3817f1e96f10,1/30/2021,Edge,Violet,5910030981,#e4188e,Brass,China,56.9,17.64,1.4196
272f58ef-d426-4694-8f6d-0c1f112e5b1f,1/21/2021,MDX,Blue,3453423615,#f695fd,Vinyl,China,119.4,,1.4241
7110981d-bab2-4faf-b1e1-27f33e88f519,1/9/2021,R32,Khaki,6695359555,#c8998e,Aluminum,United States,89.7,89.86,1.2043
bd13463c-e8fc-472e-82fb-8a3d60cd0c47,1/5/2021,Summit,Goldenrod,1060195313,#d8f758,Vinyl,China,49.3,77.08,1.3973
8a938d7f-9045-4dd9-b5ba-a83254ab48d3,1/8/2021,Colorado,Indigo,6468239621,#db0b8d,Aluminum,China,,94.06,1.5598
544abab5-6036-4342-ac60-e191eeaa2a3e,1/2/2021,Jimmy,Puce,5797315726,#0b9967,Stone,Portugal,93.8,5.3,1.8683
d01acefb-b3c1-4120-a6cd-5b2888f33de4,1/24/2021,Ciera,Yellow,9611457944,#f0d681,Stone,Portugal,114.7,43.12,1.7041
a8b25dc1-f207-438d-80ac-5bf07c16c758,1/25/2021,Liberty,Aquamarine,9711986124,#3dfa22,Plastic,China,116.8,84.42,1.7759
a9940b73-6035-459c-9051-087c50fa3f9a,1/20/2021,190E,Maroon,0886558980,#a845d3,Stone,China,54.4,77.33,1.7859
a782a1ec-7633-479a-8eb4-fd14523edc85,1/18/2021,Sephia,Mauv,5249391435,#0c6270,Stone,China,6.8,89.54,1.9226
47f8ec8b-881a-4767-9182-c787724ab72d,1/17/2021,Monterey,Teal,0289060672,#f7d691,Aluminum,China,57.2,33.51,1.3345
fb096b48-2c2e-4c2b-a03a-ef30893aafc8,1/18/2021,S10 Blazer,Purple,4453449046,#345e1c,Granite,Portugal,102.5,71.05,1.2905
897141f5-8045-4591-b7bd-9eca1420a4cf,1/27/2021,Uplander,Blue,1162505001,#0f7ab7,Glass,China,42.9,84.18,1.4837
44bdfe58-e9ac-4c6f-8a81-a795374b694d,1/22/2021,Escape,Blue,8983402768,#8c1647,Aluminum,China,60.1,35.95,1.9632
a2de65f2-e231-40a1-9a51-7c4e13aff58b,1/25/2021,F150,Mauv,6699028561,#8b55dc,Aluminum,China,101.0,,1.275
eac35d25-e032-4d6b-8477-4d490d6ef918,1/23/2021,Grand Marquis,Red,7283861173,#a98111,Stone,China,106.2,77.08,1.1323
bfe0ca16-2fe3-42b2-bf13-cb1a40f35649,1/13/2021,90,Maroon,3688621875,#889a28,Stone,China,3.4,80.98,1.4506
df8c752e-74da-4cf4-ab23-57bdfd2d3675,1/26/2021,Touareg,Aquamarine,9097630185,#61e64e,Plexiglass,Portugal,51.1,37.56,1.8685
f2a2b148-a480-496e-9ff4-c1570adc756f,1/18/2021,Sunbird,Teal,3079748131,#f3e5ab,Granite,China,1.7,87.26,1.0123
cbc07721-9494-4d73-b92e-8af631cdee85,1/23/2021,430,Mauv,9744178213,#46c43f,Granite,China,62.9,4.44,1.3962
1d68eaaa-6553-43b1-a5b9-bd7fa83c7567,1/10/2021,Ranger,Purple,7870001279,#2779e5,Plexiglass,China,25.6,18.29,1.0841
3b54a65d-3a5b-4d3c-9f91-27274a0cbd31,1/18/2021,8 Series,Pink,6591450688,#84e1ed,Stone,China,27.3,36.03,1.7622
59ecd909-53ee-4c91-b444-d4585d2b98ff,1/13/2021,Alero,Goldenrod,0480486972,#5bb32a,Wood,Portugal,118.1,75.87,1.3458
8b3a353b-f148-422d-a67b-8c17d8fd0f4c,1/5/2021,Equinox,Khaki,4250798992,#b83b66,Plastic,China,62.3,45.45,1.5321
14195cb8-7a2e-48f5-8661-8dd350a79dee,1/5/2021,G,Red,3584551951,#043f0e,Plastic,United States,68.8,65.64,1.5256
e1018251-739b-41f9-8dec-c1d7944b8277,1/11/2021,S60,Aquamarine,1424040604,#2758d1,Glass,Portugal,69.4,84.29,1.6333
6f1ba87c-8fa5-43e0-a275-fc9ce21f35c7,1/28/2021,Fillmore,Violet,0096113715,#cde7cd,Glass,China,106.9,43.03,1.8994
74e59f27-fa3f-49f4-b161-02f63dddcbe8,1/14/2021,Explorer,Mauv,2752352573,#ba7d6a,Vinyl,China,112.9,91.07,1.2039
63f533a3-2623-4fbf-b3ff-b52a12e11540,1/28/2021,GTO,Orange,8799084945,#3f5093,Plexiglass,China,90.1,,1.9988
9c14cb4b-c057-4282-a2ab-d35be06eb202,1/18/2021,TT,Aquamarine,0849496756,#ec5d35,Rubber,Portugal,94.5,42.79,1.3187
0d1c5440-2e43-412e-90b8-557297fcbdef,1/23/2021,X-90,Goldenrod,7480499132,#4c2f44,Aluminum,Germany,30.2,82.24,
363f2458-cf96-49d8-9ced-c428acd4678b,1/1/2021,Yukon XL 2500,Crimson,8885242588,#4f8864,Plexiglass,China,97.3,81.8,1.9153
84f6a71f-2a73-4168-ac6b-00a908fd69ee,1/28/2021,Endeavor,Red,5567089759,#a1e988,Granite,United States,94.4,14.13,1.4116
f6f76660-7cbe-474e-9d60-321ed807ab13,1/12/2021,Grand Prix,Red,6429720942,#63c5a5,Rubber,China,7.3,52.32,1.1694
b37e977c-9e2a-4a2e-ad88-9aee0434305f,1/6/2021,Charger,Khaki,0668900172,#cdb05a,Wood,China,,8.57,1.2429
25a93ea0-5be0-4b35-95ad-a6e39d8147fb,1/26/2021,3500 Club Coupe,Goldenrod,7921262805,#6413e9,Brass,Portugal,81.5,39.72,1.9896
61bd7303-0939-48b8-bee5-748d9593ba0b,1/17/2021,LX,Mauv,0922510660,#d12a3a,Plexiglass,Mexico,60.5,81.31,1.1698
ac65d8b4-5171-42e9-b9e5-b2a2cc5a6405,1/24/2021,Prius,Aquamarine,8874599986,#fcf1a6,Plastic,China,6.9,83.02,1.5959
9a7ffcb6-9420-436d-b3a8-628e8266d490,1/24/2021,Skylark,Teal,5014570518,#b4e1a2,Plastic,China,105.0,,1.7258
063d80a7-107e-463e-ba1a-ceeb423795ea,1/20/2021,Corolla,Purple,3772814735,#71cd19,Plastic,China,1.8,3.62,1.1887
548ee382-6600-4437-9578-a66f7448ad5e,1/25/2021,Sportage,Aquamarine,1663793646,#aba88f,Aluminum,China,61.1,68.8,1.9822
d85ea582-9c9d-4f97-be22-9320f518491a,1/30/2021,612 Scaglietti,Maroon,5427739025,#a1c635,Brass,China,62.1,83.72,1.7639
03bce2d8-3f60-484e-b0a0-024b30e7307a,1/10/2021,E350,Fuscia,1204664595,#bd0ea4,Granite,China,18.9,67.43,1.064
24a91861-d1cd-49e3-8c58-6909138bc9f2,1/10/2021,Explorer Sport,Yellow,9956405159,#05e9c3,Rubber,China,72.0,82.13,1.4665
738fb8f3-ec22-4ba2-96a4-85907b070616,1/4/2021,SL-Class,Indigo,2266658875,#d329fb,Brass,China,11.2,91.98,1.172
09b0480e-d7be-4093-a7b5-8cfd6e8235bd,1/11/2021,MINI,Pink,8216414951,#5fefad,Plexiglass,United States,74.4,75.04,1.7251
a3d04d92-47be-4853-8625-1f2704a42804,1/19/2021,Mustang,Red,4644158461,#5d2a2c,Plastic,China,46.6,63.53,1.575
324560cc-8b56-42e9-808d-a99fbf3ee4e0,1/5/2021,Impreza WRX,Puce,5385809454,#d498cf,Aluminum,China,81.4,,1.1561
7351f6b4-4c95-4863-b385-7b8a88c5aede,1/15/2021,Xterra,Mauv,0638826314,#e3376c,Steel,China,10.3,57.55,1.0954
396a5243-28b1-4237-8304-d1136ae7efdb,1/25/2021,Mark VII,Maroon,7143689793,#625edc,Granite,Portugal,18.3,1.6,1.6688
349dc0f5-fa62-483c-8193-0fd960b31d7b,1/8/2021,Sportage,Turquoise,0350981256,#a1a967,Plastic,China,1.7,61.71,1.5355
89a028a1-5bbd-4550-bb37-6ac4412f33a8,1/1/2021,Avanti,Mauv,4182498291,#9de66c,Plexiglass,China,27.7,7.17,1.3361
c84667ce-f0c7-4b00-8ffc-d8f1b90b6ba7,1/2/2021,Grand Cherokee,Teal,4866632402,#a5bf59,Rubber,Mexico,75.1,2.78,1.4709
8a9eae51-c569-4dac-8516-d6c433a8a784,1/2/2021,Thunderbird,Turquoise,5673698216,#1c9e02,Glass,China,97.7,72.96,1.7771
6411aa7b-2b65-4410-a2ca-16c43edc660a,1/28/2021,Suburban,Teal,7689902057,#727b9c,Vinyl,China,108.5,65.54,1.1165
471777b9-e0a4-4efa-b63f-bba123fd8dc6,1/26/2021,6000,Violet,1435613473,#376438,Stone,China,108.4,16.86,1.9041
88d4106b-2551-4e79-b845-8ebf81911083,1/15/2021,Mazdaspeed 3,Teal,0141728183,#468b56,Rubber,China,78.6,11.92,1.8902
ab453da6-d491-437a-81b8-660c8d3cd095,1/11/2021,Tacoma,Mauv,3076018396,#8e9f8e,Granite,Portugal,69.2,57.69,1.6241
ad82f99a-0a8b-49de-9d5d-af75ce48a362,1/7/2021,Grand Voyager,Purple,4574654074,#239dbc,Vinyl,China,46.3,10.4,1.4649
80e778db-1037-4649-a1f1-3cbffd30e282,1/19/2021,X6 M,Aquamarine,4311637837,#08c7fa,Stone,China,62.9,67.65,1.3699
c35b88d9-dfc3-46bc-87db-590f655865ce,1/22/2021,Oasis,Crimson,8739732649,#002f49,Rubber,United States,18.9,22.77,1.735
78e2f732-2968-439c-9402-454613a01282,1/29/2021,G3,Purple,4026403173,#36d085,Aluminum,China,110.5,34.95,1.3842
609785f7-1a4b-44dc-a30a-a2a505018079,1/5/2021,Sonoma,Turquoise,2087854882,#a6395c,Stone,China,54.6,86.12,1.8954
a2f65857-5db8-41f7-87fb-a0b9862f7368,1/30/2021,GTO,Pink,1543173764,#26f2e7,Plastic,Portugal,38.4,12.46,1.8609
ece9717b-1019-4219-869a-59e9174fd0eb,1/19/2021,Elantra,Blue,9332500274,#e4606e,Granite,China,5.6,,1.9171
d48fbed0-4c91-4dfc-839e-e4b1811993dd,1/24/2021,Wrangler,Indigo,0329453211,#a18e92,Plastic,China,66.4,82.17,1.7459
b15c97b0-8dae-49e8-b9d1-232339d9cb29,1/27/2021,Astro,Turquoise,8688850208,#3dd6e9,Rubber,Mexico,21.4,7.3,1.849
f0a2367e-edd1-45f0-95cf-da9467bda41b,1/4/2021,Excel,Aquamarine,0367839326,#6e0b69,Plastic,Portugal,113.0,15.45,1.8357
2d8b3bc0-6eb7-4315-90df-4f53ded2537d,1/8/2021,200,Red,6790008977,#94bb60,Plexiglass,China,106.1,81.17,1.2043
bf9ecc76-ebcb-496a-acb6-972259fab3ea,1/17/2021,Avalon,Puce,0158549104,#d33762,Aluminum,China,78.5,35.24,1.2081
0f9a0775-56f8-4256-8889-38dc39bac637,1/26/2021,Grand Am,Violet,8446527790,#a033b1,Wood,China,113.0,,1.4374
424eb48a-66ab-448e-8299-9a1257b80cfa,1/4/2021,Sable,Crimson,6611154736,#1f870f,Wood,United States,9.8,7.16,1.0115
0b8787dc-938a-4ea1-af07-420c7cf3ee28,1/9/2021,Phaeton,Yellow,2802983814,#bb447f,Aluminum,China,99.0,,1.6062
dc66439d-b29a-4f04-af1e-7e581634de51,1/29/2021,Type-1h,Fuscia,8535756442,#d0c5d2,Rubber,China,46.0,47.17,1.9798
f35b837c-c121-4f51-9a0b-8874ab0a2548,1/1/2021,Jetta,Khaki,2121387404,#6aad04,Plastic,China,9.4,62.25,1.2782
7333d041-5221-4d6b-a0da-994f2813cd00,1/7/2021,Optima,Pink,7047554114,#5cf981,Brass,China,21.6,82.14,
b6450a2d-9c8c-4911-bc9b-7d1324e9279b,1/2/2021,Mazda3,Blue,9441296341,#5f0d56,Vinyl,China,9.1,18.71,1.2048
1541094f-3497-4a4a-a957-e123625e0169,1/8/2021,RAV4,Maroon,0457645660,#e941e7,Plexiglass,Mexico,,92.73,
b4995a38-2640-4ec4-80cf-ed249df6f903,1/8/2021,7 Series,Yellow,8053221947,#301dea,Steel,United States,95.3,69.05,1.0334
6884752f-dd40-4b02-aeec-b22fcb12a1dd,1/3/2021,Vitara,Maroon,1278701265,#b51c94,Glass,China,20.8,97.89,1.594
75d762e5-f61f-4a3e-ac5d-530cd04af0d0,1/8/2021,Previa,Indigo,2376514282,#2b7c70,Aluminum,China,9.3,62.16,1.8955
c3899747-2d80-4ab4-95da-1be78cb7d7f6,1/7/2021,Expo LRV,Fuscia,9486015899,#42638d,Vinyl,China,13.0,39.88,1.5607
cacf7110-efcb-4ebf-a729-fadcaf39d29f,1/27/2021,Swift,Red,9672187203,#260ba8,Brass,China,69.2,26.71,1.9009
2946ce55-a9d3-4baf-a5a3-a6770c4d41a6,1/27/2021,ES,Indigo,6579143835,#c00eab,Brass,China,42.6,52.98,1.7357
90d4e6c1-0d09-4aa6-8c13-572fd0e8f72a,1/8/2021,Impala,Yellow,2048418678,#ef5d48,Wood,China,112.7,38.88,1.3416
75c05aea-4f36-45a2-93b2-e53bc932ef66,1/25/2021,Impreza,Khaki,7248810126,#5df890,Aluminum,China,43.7,32.16,1.6446
c9e1895c-7aac-4937-8622-18b649db01f6,1/1/2021,Tahoe,Indigo,5780481628,#5dd092,Steel,China,27.2,14.8,1.4274
1d664e9f-f2f4-48c0-af90-e0659a2dd1fb,1/24/2021,Tiburon,Yellow,1348070072,#ee0594,Brass,China,66.2,2.5,
256e3dc3-c4be-45e5-94aa-2f337f2c4e2b,1/19/2021,F-Series,Puce,1786422662,#442e15,Aluminum,China,76.3,,1.8346
33e22c67-3477-4e1e-a154-caa651a29bc0,1/17/2021,Stealth,Crimson,5578983898,#2ff138,Wood,China,38.1,19.35,1.0692
3b32404d-4886-4ed2-9ca0-873c098dd884,1/17/2021,Murciélago,Crimson,0424147564,#066629,Steel,China,80.9,29.46,1.8944
bc8b9229-99ac-434e-8909-362f1f0ee607,1/29/2021,Bonneville,Goldenrod,9292021923,#08c80e,Plastic,China,29.5,71.78,1.0486
9a421d3b-4682-4b94-8bca-864f16953c93,1/1/2021,300,Goldenrod,9087049870,#6ed0d9,Glass,China,69.9,85.5,1.7643
7b00c23e-6d10-40bb-9b5a-61603f8e3e9d,1/28/2021,Aurora,Green,1420442449,#4b330e,Rubber,China,37.7,68.29,1.3358
24fea72d-9e26-4820-b989-b9b42bada3b1,1/9/2021,Range Rover Sport,Teal,8203072232,#77c2ed,Glass,China,116.4,89.71,1.757
1034b6f4-0df8-4759-a015-89d0d6a33d4e,1/20/2021,Silverado,Red,1199118052,#3d7f3b,Plastic,China,2.7,77.91,1.7643
94b0d46e-e41b-42b5-b6c6-58a3b9ff6c61,1/4/2021,Patriot,Turquoise,0495266914,#3f51ef,Brass,China,68.2,21.5,1.3254
e7e5946f-4e5a-44cc-8423-31b435167256,1/17/2021,Continental,Violet,4294046333,#31ce42,Steel,China,99.6,73.73,1.5535
cd597e03-18ff-4980-9ec7-260eec0cd6fb,1/8/2021,Intrepid,Fuscia,6674553395,#fb7992,Wood,China,,43.57,1.4741
90c5524e-1b79-46a9-8b6f-bec099f2706f,1/15/2021,Aero 8,Yellow,1027769446,#f4ba27,Brass,Portugal,44.7,12.08,1.5949
5c29a808-78d3-40a6-bdfd-5a97cfa4f3a9,1/13/2021,Sonata,Turquoise,2076810560,#a07798,Plexiglass,China,71.3,59.74,
f9d4124c-71cd-4e6b-84a3-a9eb8f9dcc6a,1/29/2021,Diablo,Teal,9461567200,#17cbeb,Wood,China,31.2,9.72,1.1819
4c7679b5-f218-40e8-a1ff-d2e493219766,1/2/2021,C70,Turquoise,1342562321,#e3f9d3,Brass,China,40.5,43.22,1.8348
57ba8911-8bf8-4fd3-9fd4-c744e6adffd7,1/11/2021,Sentra,Turquoise,0289503973,#e1018f,Granite,China,106.6,35.62,1.9843
c243baaf-215c-4b2f-b2e5-dc496daf8480,1/19/2021,Lucerne,Khaki,3289841456,#111b69,Plastic,Portugal,47.5,44.24,1.3246
b46a6786-84f7-4eb5-9432-eeae794fc0e2,1/13/2021,LeSabre,Green,4039685636,#c7b2d1,Stone,China,51.8,36.07,1.8429
5d3e1874-422f-497d-b6b2-feb8ed6ac5e9,1/22/2021,Ion,Turquoise,8207848588,#5e1400,Wood,China,86.6,74.77,1.6863
b2029b51-c065-4072-b211-de4720f77628,1/13/2021,Grand Caravan,Fuscia,8665943579,#1e23f1,Steel,China,48.7,11.46,1.2754
6983c4ca-7bcf-41b9-885c-22c8c41db4c5,1/3/2021,Escape,Red,4559855838,#57b144,Glass,China,113.8,47.78,1.5434
53d70669-3a03-4ba3-9b03-b40149c09f2a,1/4/2021,944,Crimson,0817230807,#b5438f,Glass,China,31.5,10.53,1.5382
72de9755-4d19-4465-91b2-cafcf68ba33f,1/19/2021,Ram 1500,Puce,9266024953,#a48f34,Wood,China,46.6,19.18,1.6534
8f18d72a-786c-4c94-9790-1ebaf7283ef4,1/2/2021,Prius,Orange,1983493074,#eb7a00,Vinyl,China,94.8,82.89,1.6875
